room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7880823,41542517,Entire home/apt,,24,0,,2,1.0,68.0,1.0,56.164097,10.214469,2016-10-29 01:40:46.027981
15322528,97637165,Entire home/apt,,24,1,,2,0.0,61.0,2.0,56.149367,10.196055,2016-10-29 01:40:43.172380
6920908,36273927,Entire home/apt,,24,1,,4,1.0,68.0,2.0,56.152544,10.206125,2016-10-29 01:40:29.574765
3249155,11206742,Entire home/apt,,24,5,5.0,4,2.0,87.0,3.0,56.147076,10.205697,2016-10-29 01:40:22.214220
1242948,6193751,Private room,,24,1,,2,1.0,61.0,2.0,56.159235,10.209139,2016-10-29 01:40:13.690172
8572129,44932890,Private room,,1,4,4.5,2,1.0,68.0,1.0,56.132292,10.21059,2016-10-29 01:40:01.756697
11606479,61426999,Entire home/apt,,24,5,5.0,3,1.0,45.0,1.0,56.165611,10.213174,2016-10-29 01:39:55.467606
9359600,48570226,Private room,,24,16,4.5,4,1.0,45.0,1.0,56.161485,10.198163,2016-10-29 01:39:26.233997
15477304,65071273,Private room,,4,0,,2,1.0,39.0,1.0,56.180219,10.190609,2016-10-29 01:39:12.074875
7877104,41273215,Private room,,6,1,,2,1.0,38.0,2.0,56.148342,10.157767,2016-10-29 01:39:05.464036
13589545,18333196,Private room,,4,2,,2,1.0,30.0,2.0,56.171741,10.199325,2016-10-29 01:39:01.840340
11525016,3756437,Entire home/apt,,4,3,5.0,3,1.0,45.0,1.0,56.174029,10.210004,2016-10-29 01:38:25.061771
6101582,31653051,Entire home/apt,,24,4,5.0,2,1.0,48.0,2.0,56.166069,10.189109,2016-10-29 01:38:13.854712
13159135,73480012,Entire home/apt,,5,0,,7,4.0,151.0,1.0,56.190285,10.22048,2016-10-29 01:38:10.057852
6875189,28341152,Private room,,24,13,4.5,2,1.0,59.0,1.0,56.160572,10.204,2016-10-29 01:37:57.009098
14149272,85474465,Entire home/apt,,24,2,,4,2.0,83.0,2.0,56.161393,10.215624,2016-10-29 01:37:50.867511
14570227,53189891,Entire home/apt,,24,0,,2,2.0,181.0,2.0,56.153146,10.185469,2016-10-29 01:37:36.756839
14100552,7639425,Entire home/apt,,24,1,,3,1.0,68.0,1.0,56.154578,10.210319,2016-10-29 01:37:32.974189
5224107,10541812,Entire home/apt,,24,8,5.0,2,1.0,54.0,3.0,56.156689,10.19717,2016-10-29 01:37:24.493847
